year,category,emissions (MtCo2e)
2010,Breeding animals,0.007
2010,Market animals,0.081
2010,grazing animals,12.681
2010,poultry,0.039
2010,working animals,0.266
2011,Breeding animals,0.007
2011,Market animals,0.081
2011,grazing animals,13.095
2011,poultry,0.038
2011,working animals,0.269
2012,Breeding animals,0.008
2012,Market animals,0.086
2012,grazing animals,15.923
2012,poultry,0.042
2012,working animals,0.381
2013,Breeding animals,0.008
2013,Market animals,0.087
2013,grazing animals,16.277
2013,poultry,0.041
2013,working animals,0.386
2014,Breeding animals,0.008
2014,Market animals,0.09
2014,grazing animals,16.618
2014,poultry,0.042
2014,working animals,0.394
2015,Breeding animals,0.009
2015,Market animals,0.095
2015,grazing animals,16.968
2015,poultry,0.043
2015,working animals,0.442
2016,Breeding animals,0.009
2016,Market animals,0.097
2016,grazing animals,17.41
2016,poultry,0.045
2016,working animals,0.456
2017,Breeding animals,0.009
2017,Market animals,0.098
2017,grazing animals,17.616
2017,poultry,0.046
2017,working animals,0.463
2018,Breeding animals,0.01
2018,Market animals,0.107
2018,grazing animals,18.033
2018,poultry,0.048
2018,working animals,0.474
2019,Breeding animals,0.01
2019,Market animals,0.114
2019,grazing animals,18.787
2019,poultry,0.049
2019,working animals,0.488
2020,Breeding animals,0.01
2020,Market animals,0.112
2020,grazing animals,19.406
2020,poultry,0.05
2020,working animals,0.503
2021,Breeding animals,0.01
2021,Market animals,0.112
2021,grazing animals,19.326
2021,poultry,0.051
2021,working animals,0.516
