country,ISO2,ISO3,direct_emissions (Mt C02e),indirect_emission(Mt C02e),total_emissions(Mt C02e),rural_pop (Millions),VOP(Millons usd),TLU(Millons),Pasture_area(Millions Ha)
Angola,AO,AGO,6.2,1.3,7.5,15,318.8,4.2,51.9
Benin,BJ,BEN,4.4,,4.4,7,142.8,1.9,0.6
Botswana,BW,BWA,1.2,,1.2,1.7,101.2,2.2,24.8
Burkina Faso,BF,BFA,24.8,,24.8,15.7,535.7,8.8,6
Burundi,BI,BDI,1.5,,1.5,4.5,68.6,0.8,0.5
Cameroon,CM,CMR,9.5,0.8,10.3,15.7,499,4.6,2
Central African Republic,CF,CAF,7.6,3.4,11.0,3.8,177.4,3.6,3.2
Chad,TD,TCD,28.8,0.1,28.9,14.1,346.5,6.6,41.5
Cote d'Ivoire,CI,CIV,3.2,1.6,4.8,15.7,263.2,2,9.1
Democratic Republic of the congo,CD,COD,2,1.4,3.4,72.9,175.9,2.1,14.9
Djibouti,DJ,DJI,0.4,,0.4,0.5,18.2,0.3,0.6
Equatorial Guinea,GQ,GNQ,,,0.0,0.8,0.6,0,0
Eritrea,ER,ERI,2.8,,2.8,3.3,96.8,1.9,6.6
Ethiopia,ET,ETH,77.2,0.8,78.0,61.6,2885,44.3,19.7
Gabon,GA,GAB,0.1,0.3,0.4,1.8,18.2,0.2,0.6
Gambia,GM,GMB,0.7,,0.7,0.9,18.6,0.4,0.4
Ghana,GH,GHA,6.1,0.1,6.2,15.7,290.4,2.5,7.3
Guinea,GN,GIN,14,1.8,15.8,7.5,274.1,4,5.2
Guinea-Bissau,GW,GNB,1.4,0.2,1.6,1,32.8,0.7,1.1
Kenya,KE,KEN,36.5,0.5,37.0,32.9,1226.2,17.5,21.6
Lesotho,LS,LSO,0.8,,0.8,1.4,185.3,0.6,1.9
Liberia,LR,LBR,0.2,,0.2,2.7,31.6,0.2,0
Madagascar,MG,MDG,10.1,6.9,17.0,19.1,938.8,7.7,21.7
Malawi,MW,MWI,3.9,0.1,4.0,13.5,183.3,1.7,2
Mali,ML,MLI,26.5,,26.5,15,427.9,10.1,29.6
Mauritania,MR,MRT,6,,6.0,2.6,186.4,2.7,10.4
Mozambique,MZ,MOZ,2.4,2.9,5.3,19.2,869.7,1.8,40.6
Niger,NE,NER,24.3,,24.3,19,346,9.6,20.6
Nigeria,NG,NGA,58.8,0.3,59.1,94.9,2504,24.2,18.2
Republic of the Congo,CG,COG,0.3,0.7,1.0,2.4,12.5,0.3,1.9
Rwanda,RW,RWA,2.2,,2.2,5.2,92.4,1.4,0.5
Senegal,SN,SEN,8.3,,8.3,8.8,322.2,4.2,5.6
Sierra Leone,SL,SLE,1.1,0.2,1.3,4,68.9,0.9,0.2
Somalia,SO,SOM,9.8,,9.8,8.6,473.7,5.8,37.7
South Africa,ZA,ZAF,22.6,1.6,24.2,22,3830.6,14.6,72.3
South Sudan,SS,SSD,16.4,0.3,16.7,15.8,786.4,12.3,31.7
Sudan,SD,SDN,34.5,,34.5,31.5,1367.4,27.6,70.5
Tanzania,TZ,TZA,32.7,9.2,41.9,32.8,1094.7,15.8,40.2
Togo,TG,TGO,2.1,,2.1,4.3,125.3,0.9,0.8
Uganda,UG,UGA,21,0.6,21.6,23.4,722,10.9,3.4
Zambia,ZM,ZMB,4.1,5.7,9.8,11.6,311.7,3,29.2
Zimbabwe,ZW,ZWE,6.2,0.3,6.5,9.3,430.9,4.3,16.6
